터미널: 감곡시외터미널
출발,요금(어른),소요시간
14:00,8,300 원,01:38
16:44,8,300 원,01:38
19:00,8,300 원,01:38
터미널: 대야공용버스터미널
출발,요금(어른),소요시간
09:20,14,700 원,02:44
10:40,14,700 원,02:44
13:05,14,700 원,02:44
16:15,14,700 원,02:44
17:55,14,700 원,02:44
터미널: 대전복합터미널
출발,요금(어른),소요시간
06:20,6,200 원,01:00
06:27,4,800 원,01:00
06:48,6,200 원,01:00
07:14,6,200 원,01:00
07:21,4,800 원,01:00
08:11,4,800 원,01:00
08:46,4,800 원,01:00
08:56,4,800 원,01:00
09:21,6,200 원,01:00
09:36,4,800 원,01:00
10:56,6,200 원,01:00
11:21,6,200 원,01:00
12:04,6,200 원,01:00
12:21,4,800 원,01:00
12:26,4,800 원,01:00
12:43,4,800 원,01:00
12:45,4,800 원,01:00
13:01,6,200 원,01:00
13:34,6,200 원,01:00
13:59,6,200 원,01:00
14:09,4,800 원,01:00
14:42,6,200 원,01:00
14:45,4,800 원,01:00
14:58,6,200 원,01:00
15:13,4,800 원,01:00
16:11,6,200 원,01:00
16:26,4,800 원,01:00
16:46,6,200 원,01:00
17:04,6,200 원,01:00
18:04,6,200 원,01:00
18:14,4,800 원,01:00
18:54,6,200 원,01:00
19:04,4,800 원,01:00
19:27,6,200 원,01:00
19:42,4,800 원,01:00
20:50,4,800 원,01:00
22:00,5,300 원,01:00
터미널: 대전청사시외버스둔산정류소
출발,요금(어른),소요시간
08:00,5,200 원,00:47
터미널: 덕산진천정류소
출발,요금(어른),소요시간
06:40,6,900 원,01:19
10:10,6,900 원,01:19
11:36,6,900 원,01:19
15:36,6,900 원,01:19
17:40,6,900 원,01:19
